stock_code,company_name,corp_code,snapshot_date,market_cap_wics_raw,trading_value_wics_raw,shares_outstanding,wics_index_code,wics_index_name,wics_large_code,wics_large_name,market,data_provider
086960,MDS테크,00445841,20260327,90855,365226,79073163,G4510,WICS 소프트웨어와서비스,G45,IT,KOSPI,wics_local_fallback
023150,MH에탄올,00121534,20260327,13911,236528,3246551,G3020,"WICS 식품,음료,담배",G30,필수소비재,KOSPI,wics_local_fallback
035420,NAVER,00266961,20260327,27331572,945391,128619163,G5020,WICS 미디어와엔터테인먼트,G50,커뮤니케이션서비스,KOSPI,wics_local_fallback
160550,NEW,00974927,20260327,31628,945391,17580846,G5020,WICS 미디어와엔터테인먼트,G50,커뮤니케이션서비스,KOSPI,wics_local_fallback
053290,NE능률,00363927,20260327,18433,64204,8593679,G2560,WICS 교육서비스,G25,경기관련소비재,KOSPI,wics_local_fallback
181710,NHN,00983271,20260327,548288,365226,13101255,G4510,WICS 소프트웨어와서비스,G45,IT,KOSPI,wics_local_fallback
060250,NHN KCP,00357740,20260327,362911,365226,21285123,G4510,WICS 소프트웨어와서비스,G45,IT,KOSPI,wics_local_fallback
104200,NHN벅스,00645089,20260327,30045,945391,6820673,G5020,WICS 미디어와엔터테인먼트,G50,커뮤니케이션서비스,KOSPI,wics_local_fallback
400760,NH올원리츠,01480780,20260327,145486,20068,45042005,G4050,WICS 부동산,G40,금융,KOSPI,wics_local_fallback
005940,NH투자증권,00120182,20260327,5003966,535642,146101191,G4020,WICS 증권,G40,금융,KOSPI,wics_local_fallback
338100,NH프라임리츠,01391033,20260327,81544,20068,17727000,G4050,WICS 부동산,G40,금융,KOSPI,wics_local_fallback
034310,NICE,00158316,20260327,232893,365226,16540720,G4510,WICS 소프트웨어와서비스,G45,IT,KOSPI,wics_local_fallback
063570,NICE인프라,00363769,20260327,76465,365226,18098295,G4510,WICS 소프트웨어와서비스,G45,IT,KOSPI,wics_local_fallback
030190,NICE평가정보,00158325,20260327,536990,30375,31812224,G2020,WICS 상업서비스와공급품,G20,산업재,KOSPI,wics_local_fallback
008260,NI스틸,00116301,20260327,42741,6776021,11726047,G2010,WICS 자본재,G20,산업재,KOSPI,wics_local_fallback
004250,NPC,00108038,20260327,48652,1649949,12117600,G1510,WICS 소재,G15,소재,KOSPI,wics_local_fallback
456040,OCI,01760738,20260327,436667,1649949,4655297,G1510,WICS 소재,G15,소재,KOSPI,wics_local_fallback
